target,text,processed_text
positive,Ate the cereal before my sister did. Got history textbook last minute. Caught the bus on time. William loves me. nohomo.  GO MONDAYS! ,ate cereal before sister did got history textbook last minute caught bus time william loves nohomo mondays
positive,"@CelestialAxis @jenni75 Haaa! Nice pun, Jenni.  Sarah, get a bunch of little pine trees and put it on the offenders desk. lol",haaa nice pun jenni sarah get bunch little pine trees put offenders desk lol
negative,@MeganBull hmmmmm i think it was around 11ish. then he said brb at like 12:15 but never came back ,hmmmmm think was around ish then said brb like but never came back
positive,"2 hours till Dday: statistics LT... right now practicing chi-square distribution, analysis of variance, and the simple linear regression. ",hours till dday statistics right now practicing chisquare distribution analysis variance simple linear regression
negative,@RealGrace my @Bonnaroo tix are in limbo....as usual  #UPSsucks,tix are limboas usual
positive,@jaimiesortino nawww baibai! have a safe flight ,nawww baibai have safe flight
positive,@JohnJCampbell its the wine!! ,its wine
positive,"Watching Scrubs.  well, i was until dad came in the room, demanding i put F1 on.",watching scrubs well was until dad came room demanding put
positive,"enjoying listening to the rain fall as I prepare for a conference call at work.... a meeting later today, then to relax tonight ",enjoying listening rain fall prepare conference call work meeting later today then relax tonight
negative,Phone and DSL has been down all day ,phone dsl has been down all day
positive,so sleepy. good times tonight though ,sleepy good times tonight though
positive,Listening to Sigur Ros. This has been a good day. ,listening sigur ros has been good day
positive,@igortizz mine wasnt either but its all good now ,mine wasnt either but its all good now
negative,"if the temp drops below 45 again, someone come save my garden.  I just got the damned things in the ground yesterday.",temp drops below again someone come save garden got damned things ground yesterday
positive,@foseroo that is very sad... any leftovers i will totally eat! ,that very sad any leftovers will totally eat
positive,Finish watering @hanashiki 's tree at exteen. ,finish watering tree exteen
negative,my lungs don't have the strength to blow up my 'nothing personal' beach ball  i hope they create some 'nothing personal' socks.,lungs dont have strength blow nothing personal beach ball hope they create some nothing personal socks
negative,wish my homeboy from the Ukraine would send me that record! its like 1 a.m over there tho.. ,wish homeboy from ukraine would send that record its like over there tho
negative,Wow i woke up again and noticed I'm just a little too not over you ,wow woke again noticed little too not over you
negative,I will try to twitpic some flicks at summer jam for my west coast babies that can't come. ,will try twitpic some flicks summer jam west coast babies that cant come
negative,"Loved the MOs Friday, wishing there were more tonight ",loved mos friday wishing there were more tonight
negative,Im coming home soon i wanna hang out with you guys sooo bad  ily &lt;/3,coming home soon wanna hang out with you guys sooo bad ily
positive,"@taylorthomas me too, haha! We need to do lunch/dinner soon ",too haha need lunchdinner soon
positive,"Stars ï¿½ Tonight ~morning/afternoon/evening, all !  ? http://blip.fm/~6it0p",stars tonight morningafternoonevening all
negative,@taytayswiftfan1 i wanted to take a pic but i didnt get a chance ,wanted take pic but didnt get chance
negative,Chris is taking Rockband!    I'm going to have to go purchase Rockband 2 for the Wii!,chris taking rockband going have purchase rockband wii
positive,"Happy Birthday to @RhonM!!! Hope it's an awesome day, babe. ",happy birthday hope its awesome day babe
negative,already sunday.....i hate sundays ,already sundayi hate sundays
positive,GOOD ONE JENSON!!!!!! WHOOP WHOOP WHA CAN I SAY THE BEST DRIVERS ARE THE ENGLISH AND OF COURSE AUSTRALIAN!!! MY FAVE BOYS WON ACCEPT 1!! ,good one jenson whoop whoop wha can say best drivers are english course australian fave boys won accept
negative,"@backstreetboys Guys, I don't know why but someone deleted your results in Twitter competition. I'm upset  #BSB",guys dont know why but someone deleted your results twitter competition upset
negative,What the hell happen to My firefox...after few minuted it freeze. turn into Dark... ,what hell happen firefoxafter few minuted freeze turn into dark
positive,WooHoo!!!! Doctor Who time! ,woohoo doctor who time
positive,i watchin bgt  xx,watchin bgt
positive,@KankzXD I KNEW IT!!!  Stephanie Plastichands xD  Get it?? instead of Edward Scissorhands you're Stephanie Plastichands ,knew stephanie plastichands get instead edward scissorhands youre stephanie plastichands
negative,@spudcheyne LOL well let me temper that w/ the fact that I'm usually always here (or wherever I travel to) for work ,lol well let temper that fact that usually always here wherever travel work
negative,storm! you don't know how bad i feel right now. this was supposed to be our last year together but were not even classmates.  --sky.,storm you dont know how bad feel right now was supposed our last year together but were not even classmates sky
negative, I want all my friends back.,want all friends back
positive,Night tweeps! Im off to slumber land.   ,night tweeps off slumber land
positive,"@kenwheaton ditto, thanks man ",ditto thanks man
negative,"http://twitpic.com/7w8m9 - Hes so boss, ok thats enough i know i seem like a cat lady ",hes boss thats enough know seem like cat lady
negative,@Robertsykes not here ,not here
negative,In school and i'm dead tired ,school dead tired
positive,"@ChrisHangsleben  yes, that is a bit early   ~M",yes that bit early
negative,"crying.. thinkin about my pap, i miss him so much ",crying thinkin about pap miss him much
positive,@TrishaReal Tbaggerrrr xoxo I miss you!  p.s i love ur background,tbaggerrrr xoxo miss you love background
negative,@GDGOfficial It's just depressing that I live in Europe and I rather want to be in the States right now ,its depressing that live europe rather want states right now
positive,@melsad// don't worry Mr. Right will come along soon. God already has it all taken care of! ,dont worry right will come along soon god already has all taken care
negative,I am totally bummed that Christiano Ronaldo isn't going to playing in Man U anymore. Anjo!!! ,totally bummed that christiano ronaldo isnt going playing man anymore anjo
negative,isPlayer Has Died! Sorry ,isplayer has died sorry
positive,Blink 182-All The Small Things  this song gets me hyped,blink all small things song gets hyped
positive,@trent_reznor Congrats! That's amazing....  ,congrats thats amazing
positive,I'm listening to Ashley Tisdales &quot;guilty pleasure&quot;  ,listening ashley tisdales quotguilty pleasurequot
negative,"FARM TIME,   Hate this Sh*t, See Ya Guys.",farm time hate sht see guys
positive,Listening to my new discs of the black eyed peas and stone temple pilots ,listening new discs black eyed peas stone temple pilots
negative,i need ponstan.. ,need ponstan
positive,"@vp2008 Ya, well I hope you're gettin that feeling about bfh too, so close i can play it ",well hope youre gettin that feeling about bfh too close can play
positive,"@Crowjake Nope, Holmfirth is the 14th of June. This is a birthday party for a mutual friend. Note to self: buy ticket for Holmfirth ASAP! ",nope holmfirth june birthday party mutual friend note self buy ticket holmfirth asap
negative,I know right! I may have to get another one! Hope fully sean can fix it!   ,know right may have get another one hope fully sean can fix
negative,"@BohemianSunsets  Sorry to hear that, sweetie.",sorry hear that sweetie
negative,It's 8:25 am ... I wanted to sleep more ,its wanted sleep more
negative,@karinanggrenani thanks for the bracelet n the batagor.but i cant eat the batagor ,thanks bracelet batagorbut cant eat batagor
positive,Good morning Tweeple. Looking forward to another wonder-filled day ,good morning tweeple looking forward another wonderfilled day
positive,@shayg251202 huh...?? U lost me...Jerz...? I'm in ATL  somebodys tryin to have 2 many convos @ 1 time...&quot;newbie&quot;..lol,huh lost mejerz atl somebodys tryin have many convos timequotnewbiequotlol
negative,@phinesiabell hey I am going on a cruise in Nov. I will be sad if they do theirs in Nov too ,hey going cruise nov will sad they theirs nov too
positive,shares http://twitter.com/eijay (my twitter page)  http://plurk.com/p/p4rnf,shares twitter page
positive,"Hey, you dropped your smile ",hey you dropped your smile
negative,There's always a choice on the left and one on the right... but I've discovered that dropping out of the bottom seems more effective. ,theres always choice left one right but ive discovered that dropping out bottom seems more effective
negative,My best friend is on her way to China for 2 months..   Shes taking some college classes there and I already missssssss her!  *TeAr*,best friend her way china months shes taking some college classes there already missssssss her tear
positive,crawling to work and dreaming of tonight TOUCHING HEAVEN in berlin!!! ,crawling work dreaming tonight touching heaven berlin
negative,"Stupidly left my homework on the computer at college, and it's due first thing on Monday morning Â¬Â¬ Will have to start again ",stupidly left homework computer college its due first thing monday morning will have start again
negative,@overhope oh well i want you there. i cant talk in chat room. it wont let mee ,well want you there cant talk chat room wont let mee
positive,@b_club Deciding WHAT to do is sometimes the hardest part ,deciding what sometimes hardest part
negative,"Just when I think I'm starting to get better, the pain killers wear off. ",when think starting get better pain killers wear off
positive,"@piperoflove BTW, good morning.  haha",btw good morning haha
negative,@candicekei shiiit that sucks ,shiiit that sucks
positive,Wondering who is on here apart from the obvious.  THey tried to get me to follow a heap of people I don't know.  ,wondering who here apart from obvious they tried get follow heap people dont know
positive,Today is Mutti's birthday. ,today muttis birthday
positive,2Grand doing A Whole New World ,grand doing whole new world
negative,lastt day  teext,lastt day teext
positive,@meggywebb Happy #andyhurleyday to you too! ,happy you too
positive,i need to leave real soon but i'm scared its gunna rain =/ listening to some 30stm before i go ,need leave real soon but scared its gunna rain listening some stm before
negative,is out for the day thenhas gotta play the steel pans at a celebration evening for the yr 7's. Fun. not.  god i miss him so much ):,out day thenhas gotta play steel pans celebration evening fun not god miss him much
negative,"@misshara at home, sick  &lt;-- the power of copy paste..   . get well soon, dear! *hugs*",home sick power copy paste get well soon dear hugs
positive,todya was good  unicorn kid 14th june (Y) &lt;33,todya was good unicorn kid june
positive,Ooohh i love love love Nicky's voice in 'you make me feel'! Always makes me smile  and Ki just lets me melt away :-P,ooohh love love love nickys voice you make feel always makes smile lets melt away
negative,Getting packed to fly home tonight.   Will miss having a good time with the 2 boys.   Been a great two weeks!,getting packed fly home tonight will miss having good time with boys been great two weeks
negative,english exam tomorrow  dreading it ,english exam tomorrow dreading
positive,@phyllie417 I really do appreciate your support. Make sure you tell me about stuff that doesn't work too ,really appreciate your support make sure you tell about stuff that doesnt work too
positive,"@mileycyrus Miley, dont you wanna stop by in Netherlands?  Amsterdam is one of the most beautiful city's in Europe!",miley dont you wanna stop netherlands amsterdam one most beautiful citys europe
negative,@Catfishers moshtix  or www.venuetix.com.au but i cant see them on there yet,moshtix but cant see them there yet
positive,"I love that #robotpickuplines is the top trending topic. I love Mythbusters!  &amp; in that same vein, I'm going to see Star Trek tonight?",love that top trending topic love mythbusters amp that same vein going see star trek tonight
positive,Make that lazy 5 ranch ,make that lazy ranch
positive,"@Lesneedsvalium I once had a dog that actually LIKED onions and grapes.  He'd peel the grape first, though!  ",once had dog that actually liked onions grapes hed peel grape first though
positive,@CRCMwn be honest.  the treadmill was off and you were sitting on it ,honest treadmill was off you were sitting
positive,my sista-in-law is taking ray for the night! yay night off.  gona go to the RSL to watch state of origin. go blue's!,sistainlaw taking ray night yay night off gona rsl watch state origin blues
positive,@nanoraptor boots  you got enough ram,boots you got enough ram
negative,...and now I'm craving a Mojito ,now craving mojito
negative,@stus0 yep! 3 more days ughh I'm in soo much pain from one of them ,yep more days ughh soo much pain from one them
negative,OMG I jus smashed a spider on my floor!! ...I'm deathly afraid of spiders D:  and I sleep on a mattress on the floor!! ,omg jus smashed spider floor deathly afraid spiders sleep mattress floor
positive,@noisydogstudio LOL I pre ordered season 2 on Amazon  Comes out in Sept.,lol pre ordered season amazon comes out sept
positive,Early finish at college - walking home. Some great E3 coverage on Twitter - many thanks for posting everyone! ,early finish college walking home some great coverage twitter many thanks posting everyone
positive,getting a little swirly headed at the casino! Gin blossoms playing ,getting little swirly headed casino gin blossoms playing
negative,"Dear Firefox, please stop freezing when I need you the most  xx",dear firefox please stop freezing when need you most
positive,"The #Chaser are truly back, and freaking awesome as usual ",are truly back freaking awesome usual
positive,@savorthethyme I feel better already! Thanks ,feel better already thanks
negative,"@jakattack if u find some good advice that helps, send it my way - my one y.o. is a biter in the making  If I find a soln I will share too",find some good advice that helps send way one biter making find soln will share too
positive,Good morning everyone and thanks 4 following to my new friends ,good morning everyone thanks following new friends
negative,"@crluehmann not much really. just lost a piece of myself for the next 2 1/2 weeks  tell your mommy I say hello, please!",not much really lost piece myself next weeks tell your mommy say hello please
positive,Off to meet @vikkichowney for lunch... Om Nom Nom nom ,off meet lunch nom nom nom
negative,@fngtps http://bit.ly/nMq7Z still no dice ,still dice
positive,http://tinyurl.com/m5manq - please view my video ,please view video
negative,i think @nowhammystop conspires to shaft me and @banderson17 with work every pens game ,think conspires shaft with work every pens game
negative,@KhloeKardashian text me!! or call me then! 1318-789-6759 Khloe! you are so cool! I want to meet you  Love you gurl!,text call then khloe you are cool want meet you love you gurl
negative, I 'm really disappointed my brother isn't coming 2day..2morrow he will come.......I hate myself when I misunderstand things,really disappointed brother isnt coming daymorrow will comei hate myself when misunderstand things
positive,"@MissLohan83 LOL, if you like. ",lol you like
negative,"Today I am not talking with manu, I am sad  ",today not talking with manu sad
negative,bah rocked up to work &amp;&amp; found out I start @ 11.30  I'm an hour early,bah rocked work ampamp found out start hour early
positive,@SoooRiNIKulous good one! ,good one
positive,"@iobridge Hope it goes well. And tweet often please. We want to feel like we're there too! Oh, feel free to use my site as an example! ",hope goes well tweet often please want feel like were there too feel free use site example
negative,"@TheStafford Well Michelle, have a fabulous Saturday, I am off to do what I love best.....Clean house...ugh ",well michelle have fabulous saturday off what love bestclean houseugh
negative,Is in A&amp;E with her 2yr old he's damaged his knee ,aampe with her old hes damaged his knee
negative,i'm tired. and feel slightly ill. ,tired feel slightly ill
positive,@LouiseMadden oh n mine as is fish finger sarnie plz with coke ,mine fish finger sarnie plz with coke
negative,Maths and RE exam tomoz!  I havn't even started to revise RE =\,maths exam tomoz havnt even started revise
negative,today was tha painfulllest day of my life ,today was tha painfulllest day life
negative,I woke up really early and can't get back to sleep.  Sundays are supposed to be for sleeping in.,woke really early cant get back sleep sundays are supposed sleeping
negative,feels  my fortune teller in FB is a fraud!!! I didn't met her today... (brokenheart) http://plurk.com/p/11xfzt,feels fortune teller fraud didnt met her today brokenheart
positive,"Wee!  Once again, we're waiting for a proof. This time, it's SECOND DAY shipping so no more tracking number OCD ",wee once again were waiting proof time its second day shipping more tracking number ocd
negative,Currently reading http://bit.ly/VU76D and loving it! I wish I got to travel more so I could post a picture of my bag contents ,currently reading loving wish got travel more could post picture bag contents
negative,http://twitpic.com/6r9vf - almost there! say *goodbye* to the **blonde**.... ,almost there say goodbye blonde
negative,Moving day! I will miss my first apt. ,moving day will miss first apt
negative,Stuck in traffic on the 5 ,stuck traffic
negative,Dark as night outside.  These thunderstorms are NO JOKE! Trying to survive another day with little sleep and tons of work ahead of me... ,dark night outside these thunderstorms are joke trying survive another day with little sleep tons work ahead
negative,Sleep ... Dreading work in the AM ,sleep dreading work
negative,@YoungQ i can't get the chat on my phone. ,cant get chat phone
positive,"@4Baker  hey saw that you followed me, I'm Angel ",hey saw that you followed angel
positive,@blogbabygabby isn't it. ,isnt
negative,@_EdwardCullen_ bye ,bye
negative,Life would be easier if I could just pick up the phone and call him  Stupid international roaming rates. (and timezones),life would easier could pick phone call him stupid international roaming rates timezones
negative,lmao...ya'll are ruthless!!! .....Poor Diddy  .............................................(SIKE!!!!!),lmaoyall are ruthless poor diddy sike
positive,"Almost in York, running a tad late today! I'm planning on putting a tent up in my living room when I get back to Leeds ",almost york running tad late today planning putting tent living room when get back leeds
negative,I miss my shot buddies ,miss shot buddies
negative,wishing i was with @camismiiles forever .....im soo LOW right now i need her a lot ... ,wishing was with forever soo low right now need her lot
negative,@sumthnspecial Ready for the weekend? m.a.c only has a sale like 2  a year. ,ready weekend mac only has sale like year
positive,@LittleFletcher http://twitpic.com/6go2v - haha hlove your face!  and your hair is AMAZIIIING *----*,haha hlove your face your hair amaziiiing
positive,@Aaronage I've completed it. So ask if you need guidance  The intro is MEGA long.,ive completed ask you need guidance intro mega long
negative,@omgthatsfun but you're breaking MY heart. ,but youre breaking heart
negative,r.i.p mrs. f .. we miss u .. ,rip mrs miss
positive,Now english academy ,now english academy
negative,DAmm people_ follow back ,damm people follow back
negative,revising for a resit and watching endless videos with annoying background music about mitosis and meiosis ,revising resit watching endless videos with annoying background music about mitosis meiosis
positive,Who else just loves to say... &quot;I concur&quot;  ,who else loves say quoti concurquot
positive,is now on twitter..... ,now twitter
negative,Just have another building problem due to fakeroot ,have another building problem due fakeroot
positive,@djskream i guess it was.. lol... ill try... thanx for the invite. ,guess was lol ill try thanx invite
positive,@VonBon how are you feeling luv? glad you and bambina are good ,how are you feeling luv glad you bambina are good
positive,@princessa_the1 Where are you?!!? ,where are you
negative,#Squarespace My iPhone hates me.  Please give me a new one.  P.S. I lost all my phone number. ,iphone hates please give new one lost all phone number
positive,@JanisSharp  morning Janis.  Lovely sunny morning here now. Thinking abt yr coming week. BELIEVE! ,morning janis lovely sunny morning here now thinking abt coming week believe
negative,@whyinthehell cats for the longest time. One of the meanest cats ever. ,cats longest time one meanest cats ever
negative,is up with the worst headache everr ,with worst headache everr
positive,awful case of the mondays already.. home &amp; tired from a fun weekend. phillies game and nba finals until bed ,awful case mondays already home amp tired from fun weekend phillies game nba finals until bed
negative,uGh mY foOt rlly rlly HuRts! anD iiTS alL hiiS FaulT!! ,ugh foot rlly rlly hurts iits all hiis fault
negative,"@tommcfly  you canceled the concerts here in Brazil? it's because the rumors are saying that you canceled. And please, answer me. ",you canceled concerts here brazil its because rumors are saying that you canceled please answer
negative,@velcr0shoes Great... I'll check it when I get off work...  They block Sims at work...,great ill check when get off work they block sims work
positive,@irajellybean Haha. It sure did. ,haha sure did
positive,"He'll brighten your day, come watch!  http://www.blogtv.com/People/KayFizzleDizzle",hell brighten your day come watch
negative,is sitting at home with a small depression ,sitting home with small depression
negative, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now,big angry spider was crawling blankeys flicked floor cant sleep now
negative,coursework  X,coursework
positive,i enjoyed having a lay in until 9:30 this morning - bliss ,enjoyed having lay until morning bliss
positive,@taylorswift13 amazinqq job on the today show concert you were fearless and so gorgous cant wait till august 27  lovelovelove  u tay ,amazinqq job today show concert you were fearless gorgous cant wait till august lovelovelove tay
positive,@MollieOfficial Mollie !! Do you know what songs you girls are performing at T4 on the beach? Your my favorite girl band  xxx,mollie you know what songs you girls are performing beach your favorite girl band xxx
negative,",&quot;bored here in home.. ",quotbored here home
negative,y &quot;i m always rite...the other person makes the mistakes&quot; feeling stays between good frnds ,quoti always ritethe other person makes mistakesquot feeling stays between good frnds
negative,"@kamalazmy yeah man i actually watched it awhile ago and kept the tab up and when i refreshed, it said it had been removed ",yeah man actually watched awhile ago kept tab when refreshed said had been removed
negative,@PKChin morning dad!! i had the weirdest dream some marines shot terrorists in the throat... no i didnt find the key yet ,morning dad had weirdest dream some marines shot terrorists throat didnt find key yet
positive,@spanncakes thanks for the follow ,thanks follow
positive,@SteveHealy lol aw would ya..say exactly this - Scottish bouncing blonde who is a great laugh and is a really wonderful lady! haha ,lol would yasay exactly scottish bouncing blonde who great laugh really wonderful lady haha
negative,"@massdistraction I know... I was outside all day and got a bit over chilled, so I'm inside for the evening. No Skoal Kodiak for me. ",know was outside all day got bit over chilled inside evening skoal kodiak
negative,"@tylertorment This is messed up, possibly to block the Sling Box with any service that AT&amp;T is going to offer ",messed possibly block sling box with any service that atampt going offer
negative,Going to bed creeped out because of the book im reading  lol just great.,going bed creeped out because book reading lol great
negative,"@ChexK Yay gin! I guess they'd both rather have Ashes instead ^^ mm'kay, I think I need a beta though  paranoid over capital lettersnshit.",yay gin guess theyd both rather have ashes instead mmkay think need beta though paranoid over capital lettersnshit
positive,@maynaseric Um.. what? How is something without a fight a great victory? I'm interested to see what your perspective is ,what how something without fight great victory interested see what your perspective
negative,"Leverluti0n: yay.  More rain, less work  http://tinyurl.com/mcvhtr",leverlutin yay more rain less work
positive,"@PaulaAbdul i love Straight Up so much that i even went as far as to rhyme over it, you and miss Janet?MAN nothing else even matters ",love straight much that even went far rhyme over you miss janetman nothing else even matters
negative,An elderly man came into the shop just now and his clothes were still under his wifes name who died recently.  Cherish your loved ones..,elderly man came into shop now his clothes were still under his wifes name who died recently cherish your loved ones
positive,@joeymcintyre lmao see its not that hard  ,lmao see its not that hard
negative,"well, d&amp;d closes@11...on a norm night, i would get out by like 11:30-11:45......its 1:05 &amp; i just got home  i .. http://tinyurl.com/nnhhhp",well dampd closeson norm night would get out like its amp got home
negative,sometimes staying in bed because you're sick makes you feel even sickers ,sometimes staying bed because youre sick makes you feel even sickers
positive,"reading, maybe going to watch theoc, and then watch panico ",reading maybe going watch theoc then watch panico
positive,heading to the eisbach for some sun action! ,heading eisbach some sun action
negative,@stompthewalrus miss ya. ,miss
positive,"watching hockey with my cousin, he is in love with the penguins! ill go for them to! pretty good team ",watching hockey with cousin love with penguins ill them pretty good team
negative,@TateBFG yea I'm feelin good. Thx! Grilled cheese is bangin! I didn't get to eat 1 last night  so ill make 1 this mornin,yea feelin good thx grilled cheese bangin didnt get eat last night ill make mornin
negative,@princesslaurenn whyy ? ,whyy
negative,is frustrated that i cant upload a twitter picture  sad,frustrated that cant upload twitter picture sad
negative,"Missing out on a BBQ right now  Well, better to be save then sorry when feeling sick, but still no fun",missing out bbq right now well better save then sorry when feeling sick but still fun
negative,extremely sad that my neighbors are partying in their room. it's so loud... and i can feel the vibrations... and i'm sick and need sleep ,extremely sad that neighbors are partying their room its loud can feel vibrations sick need sleep
positive,Right im off to Carly's to sort flat bit of shopping then PHP cms time ,right off carlys sort flat bit shopping then php cms time
positive,"See ya on the other side, folks ",see other side folks
positive,@Angeldream05 Oh yummy!  Must be great to meet up with your parents! Did they have a good time in France?,yummy must great meet with your parents did they have good time france
negative,http://twitpic.com/7ioni - scary clouds ,scary clouds
negative,I actually am going to cry. HEADACHE! ,actually going cry headache
negative,"I'm at the gym, but still in pain frok last time's workout ",gym but still pain frok last times workout
positive,@Bobbiiee Aww! Yours is really pretty! Xx I like it  Xx,aww yours really pretty like
positive,so hungry i ate my 2 slices of pizza while driving :-x glad i didnt run off road. lady @ pizza hut looked like alleen wurnos. nice tho ,hungry ate slices pizza while driving glad didnt run off road lady pizza hut looked like alleen wurnos nice tho
positive,@chesca_dwane New friend  Nice to meet you ! And happy mother's day !,new friend nice meet you happy mothers day
negative,got soaked in the rain ,got soaked rain
negative,working on homework!!! ,working homework
positive,@SelfMade2K9 Yesssssssss!! ,yesssssssss
negative,would like to go back to bed. horrible headache pounding behind my eyes and all over my skull ,would like back bed horrible headache pounding behind eyes all over skull
negative,feelin lonely now after spendin the last 50 hours with my friends ,feelin lonely now after spendin last hours with friends
negative,"My great night just got slightly less great with the news that my valet lost my car keys again, leaving me with only one key to my car ",great night got slightly less great with news that valet lost car keys again leaving with only one key car
positive,Jimi Hendrix live at Woodstock 69 on tv ,jimi hendrix live woodstock
negative,@heavenunaware ouch! did they give anything 4 pain?why couldnt they do it today?he just might be eatting soup. ,ouch did they give anything painwhy couldnt they todayhe might eatting soup
negative,@melissaeckhoff burger king! not a bobble head thoug  SO HUNGRY BUT DONT WANNA DRIVE ,burger king not bobble head thoug hungry but dont wanna drive
positive,Happy #hoppusday ,happy
positive,'Because I Said So' on lifetime is the perfect mother's day movie ,because said lifetime perfect mothers day movie
positive,Getting a friend in the hospital breakfast. I'm so nice.  http://myloc.me/40Xd,getting friend hospital breakfast nice
positive,"flipping throught 07-08 yearbook, trying to remember everything that happened last year ",flipping throught yearbook trying remember everything that happened last year
positive,http://tinyurl.com/d7tb38 Nice Photoshop Effects ,nice photoshop effects
negative,is hungoverrr! and has to continue moving  aahh i want sleeep!!uno boy nextweekend it iss!!=p,hungoverrr has continue moving aahh want sleeepuno boy nextweekend issp
positive,Bored. If you would like my msn DM me ,bored you would like msn
negative,Sorry that I tweet alot about poo and fart and toilet... ,sorry that tweet alot about poo fart toilet
negative,"Today is so silly day, outside is so sunny  and hot, but i have to sit at home ",today silly day outside sunny hot but have sit home
negative,I miss Andii ,miss andii
negative,But i cant cause i asked for it for my bday and im pretty sure ill get it.....on july 22nd! ,but cant cause asked bday pretty sure ill get iton july
positive,@JOJO1124 :O fail! and okay i shall try it ,fail okay shall try
negative,@lorenhakeney do you hate @notalentrocks lory? ,you hate lory
negative,work work work and then some more work ,work work work then some more work
positive,@sinkingducks http://twitpic.com/55afq - gnomes would be a really great idea for a photo contest ,gnomes would really great idea photo contest
negative,@BecomingBella Its okay  I understand,its okay understand
positive,looking forward to work on some songs ,looking forward work some songs
positive,@maddieeejayne dam right im proud of ya! you been missin out gurl! ,dam right proud you been missin out gurl
positive,@smilin808hapa I TOLD him that he's being a butt lol ,told him that hes being butt lol
negative,"I see booster juice cups littered on the street, that means boster juice is OPEN!! Too bad I can't make it there before work ",see booster juice cups littered street that means boster juice open too bad cant make there before work
negative,@_Chelsea_Marie yeah ,yeah
positive,Falling in love with Kings Of Leon. Amazing Music !! ,falling love with kings leon amazing music
negative,@divisionary  I hope she's ok,hope shes
positive,Ok twam. I'm taking ï¿½ 2hr nap. B back soon ,twam taking nap back soon
positive,@foleypod Oh yeah for sure but I'm too chicken to do the work myself ,yeah sure but too chicken work myself
positive,pump up the volume; years later and I still relate. awesomeness ,pump volume years later still relate awesomeness
positive,"@jtitamer Thanks for the information, I will look at blog tomorrow.  I really appriciate it when twitters help out  ",thanks information will look blog tomorrow really appriciate when twitters help out
positive,@Aznchica2002 Haha. You're welcome! I really love how they were part of the Persons Of The Week segment! ,haha youre welcome really love how they were part persons week segment
positive,@calvinharris but then you're saying Cider is called Cider cos it contains 'capples' ? ,but then youre saying cider called cider cos contains capples
negative,fuckkkkk....i think i've got RSI ,fuckkkkki think ive got rsi
positive,@AmericanWomannn Oh that sounds great bet you look forward to having them with you ,that sounds great bet you look forward having them with you
negative,hates sleeping by herself. ,hates sleeping herself
negative,"an headache, I am badly ",headache badly
positive,"Emily Powell is on Twitter! Yay! The world is properly a better place now! Welcome, @emilydrummer! Also, much love to you &amp; poorly boy. ",emily powell twitter yay world properly better place now welcome also much love you amp poorly boy
negative,I want Mark Loves Sharon to start again ,want mark loves sharon start again
negative,@ashleyann2009 sooo lame! dude i'm going to be starting working full days on weekends ,sooo lame dude going starting working full days weekends
positive,@JLSOfficial amazinggg video guyss i cant stop watching it lool. Hope you are all well. See you sundayyy  love you allllll xxxxxxx,amazinggg video guyss cant stop watching lool hope you are all well see you sundayyy love you allllll xxxxxxx
negative,@Southern Kitchen Coffee Shop with Griz and Blonx. Herra long lines ,kitchen coffee shop with griz blonx herra long lines
positive,"@dr3amingd3ad TheSTar edited my actual text. If you knew that this picture is taken in front of Hard Rock Cafe, you'll find it funny ",thestar edited actual text you knew that picture taken front hard rock cafe youll find funny
positive,"@ReTaRdEdGaNgTa No, my mum threw a dinner party at our place last nite  - but it wasn't really a party, but da food was gud ",mum threw dinner party our place last nite but wasnt really party but food was gud
negative,home from palm springs ,home from palm springs
negative,just put my baby on a plane ,put baby plane
positive,"@WhoisJohnLai Hey John! Life is a wonderful, teaching, thing.  I'm just enjoying the journey...  YOurself?",hey john life wonderful teaching thing enjoying journey yourself
positive,My mommys a nooooob ,mommys nooooob
positive,@cmtrifone congrats on the Internet  !!,congrats internet
positive,Can't sleep. Watching chelsea lately ,cant sleep watching chelsea lately
negative,sending out an important message:  I REQUIRE MORE ATTENTION THAN this. You know who you are... ,sending out important message require more attention than you know who you are
negative,@JasonGardiner living in Sequim means travel=overnights. especially since the hood canal bridge is closed for repair ,living sequim means travelovernights especially since hood canal bridge closed repair
negative,@Harry_Johnston nah i can't be bothered getting one lol. where have you been working? i wish i could go to edinburgh  xxx,nah cant bothered getting one lol where have you been working wish could edinburgh xxx
negative,@GSRsara4eva1623 no  ugh kathleen street is the worst street in my town all the welfare people life there and they are the WORST bunch of.,ugh kathleen street worst street town all welfare people life there they are worst bunch
positive,Studing 4 finals  Wish me luck See you then!!! ,studing finals wish luck see you then
positive,@michelleclaudia lool there you have it its..CLAUDIAAAA!! it worked ,lool there you have itsclaudiaaaa worked
positive,My Hubby!   Check this video out -- Rick @ Festival of the Bluegrass http://bit.ly/Q9QSM,hubby check video out rick festival bluegrass
positive,@summyghac woow your actually a fag  are you going to jordans today ?,woow your actually fag are you going jordans today
negative,@haacked Followed by practically every notable major league baseball player in the past 20 years ,followed practically every notable major league baseball player past years
positive,"@daveyarmon @grauber Wow, you outed me.  http://holykaw.com/private/rKT8yZDZkY",wow you outed
negative,friday nights shouldn't be so boring ,friday nights shouldnt boring
negative,@whitneywoowoo dang! i have 4 ,dang have
positive,@Schofe You will get loads of people asking you to do that now!!!! ,you will get loads people asking you that now
negative,I wanna watch baseball.  i was invited to a party after work though. I am going to pass,wanna watch baseball was invited party after work though going pass
