target,text
negative,"My first day at work, and its associated 4.40am alarm call, beckons "
positive,Getting ready for college. Might poke my nose in later at college - it's Vista - it's allowed - to keep me sane 
positive,Goodmorning  &lt;3 I love how it's only just Saturday. Lovely long weekend!
positive,@therealTiffany I â¥ â¥ â¥ You! You are a really sweet person i know you'll go far in your career.  â¥
positive,Everything is kinda shitty right now. But within the next hour it should be better 
negative,Firefox now supports embedded color profiles in images. http://is.gd/1d3po Unfortunately it is disabled by default in the current release 
positive,Babysitting my little sisterr. I got to see corey today. 
positive,"@wiifitgirl I've threatened to wrestle others for it, but you might beat me. "
negative,@MuscleNerd @iphone_dev pwnage tool 3.0 crushed on me thrice whilst trying to build costum firmware for iphone 2g 
positive,"@Ptwin Yeah, she lost today. I wanted her to go for the Grand Slam. I was rooting for Roddick, too, but I want Federer to win "
positive,@seankingston be safe  and have fun for the both of us LOL
positive,"One goldfish says to the other, &quot;If there's no God, who changes our water every week?&quot;  (Thnx Lotay"
positive,@ePandu evolved into what ? 
positive,7) don't give yourself away too fast. take it @ a slow pace  | tick |
positive,"I've most auto-DMs blocked, now I'll get a few less spymaster, get rich, and get followers messages. Twitter is much better as a result. "
positive,Me and my lil' cousin Luke are gonna go play simpsons game 
positive,"Testing out custom made Twitter backgrounds.  Just updated this one, with a draft, of course "
negative,@NicolaHerbert goggul. Bad busy day today!  xx
negative,I get all there You tube videos from JBYouTube how can I watch cherubs boot camp  #BringJBYouTubeBack
negative,@melgal7 omg... hope that this is not true... it'll suck if it is!!! 
positive,Time to go jump in the shower.  I'm so glad I don't have to rush this morning. What a great feeling. 
positive,On the way to Teeside park. New @Jonasbrothers album on. 
positive,Pursuing a new business venture. Nervous and excited. 
positive,"Goodbye, Champaign-Urbana! Hope you have a great summer! I'll be by from time to time to check up on you "
negative,@mrsbambam that's on u! I attempted u ignored me 
negative,"@neonbug hope you feel better  I think everyone gets sick post-thesis, it's your body finally saying &quot;my turn fucker&quot;"
positive,@ChristineGrimm Im struggling listening to a very smart presenter wearing a dress and tennis shoes--CREDIBILITY IS SHOT!! 
negative,I really wanted to see LeBron &amp; Kobe in the finals.  Oh well; Delonte took his shirt off at the end all &amp; my disappointment went away. =D
negative,is sitting in office. and having heaps to do. seems like a long evening after all.  http://plurk.com/p/xv926
negative,Ok mah peeplz night night... got take a power nap for my early mornin bus ride 2 miami shit I miss my TRUCK!!!! 
positive,"i've said it before and i'll always say it, the best part of believe is the lie. That and i wish i'd never met you. "
negative,ugh. Swine Flu reached Camp Sabra. sent everyone back 
positive,"@taylorswift13 i love you so much tay (: youre so amazing &lt;3 you should come to denmark, we love you here "
negative,This the first Saturday I'm in this early in eons! This is when a wife comes in handy... 
negative,I signed up for an account on a political website so I could post a comment but it isn't working. 
positive,is relaxing in the beautiful sunshine  x
positive,Just listed Black Amber &amp; Lavender.   http://bit.ly/cAlX0
positive,@the_lucky_ducky  lol danke 
positive,made my first sale  just when i'd pretty much given up
negative,Is on his palm pre but gotta go to work n a lil bit  sucks...
negative,@kaylaatthedisco no i don't think so!  I wish i could go soo bad! but if I have to work either that night or the night b4 i would b tired!
negative,"@tommcfly Oh no! A lot of people are starting to tweet again! Hope you could still read our multiple tweets  Philippines tour, please? "
negative, Not happy about having to drive mom's car for the next couple of days till my car gets worked on.
positive,Jigeum Mannareo Gamnida is probably the most touching Korean song I have heard. 
positive,@munozjose That one girl who is smart but likes hiphop in HSM. haha 
positive,I seriously work with the worlds greatest staff  !!
positive,@JBMareMareJB thanks mare!!! 
positive,@gomi321 Well this is probably the most &quot;advanced&quot; meal I've had all week. Gotta use up those dinner kits that we got cheap at Publix! 
negative,"@panique aww  well I'm new anyway, so I'm not much fun to hang out with on there, since my level is so low LOL"
negative,@christox I'm trying to do a spree but second last thing is to protect a gangleader or something and u need 180 members to do it  
negative,rotting in bed with a summer cold 
positive,im over here banqinq that sonq. - tyrese-one. 
positive,@fantomaster for the first time in 10 years... i look like my passport picture... trying to book flight to Easter Island this week 
negative,@Lou1510 Haha Yup You Would Have! Oh Man How Sad Was Neighbours? 
negative,@ryan_ukulm wahhh...... can port me to your place so i can enjoy too??? 
negative,feel like absoloute poopy today! wanna go for a walk but dont know if ash will have time! 
negative,Traveling with the jobe 2day! 2 bad we are only going to Chambana.. Wish it wew sumwhere more fab 
negative,"@becjonas_16 same, it only just happened like 3 hours ago "
negative,Glad you're feeling better homie! Take it easy &amp; be safe at work. I'm not gonna see you today! 
negative,@soymilk0609 Oh my thats a long time to wait to eat   if you're that hungry maybe snack on something.  13 hour difference from me. 
negative,Dan got called in to work.  No zoo today.  
positive,"@skyscrapers You guys are amazing, hopefully I can see you play one day. "
positive,@JeannieHolmes I hang out with the strangest people...makes me feel more normal 
negative,arghh im soooo tierd dont want to get out of bed need mor sleep! i miss my mum 
positive,@Bill_Wilson_AOL Thanks! Will do 
negative,@rustyrockets I fear you may not be on before my birthday (20th) may i get a message + some loving now?!  xxxxxxxxx
negative,@alexcashcash I'm sorry hope u feel better 
positive,clean sheets feel great.  Goodnight! 
negative,gotta back to my books  bye cool life.
negative, The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!
positive,Elmination Dinner  ready to win some money!
negative,has a bad case of the Monday blues. 
negative,@cheshireskye i love you so much darling. i wish you were back home so much 
positive,"@jaright i'll have to check, i forget off the top of my head... Its i bit north of me. You should come up "
positive,@selenagomez  i loved that video u posted of her on u tube  :d ... she is soo cuuuuuute!!!!
positive,"Set up my system - sounds great in my little room, "
positive,i got a bbq 2day nice hot day can not wait.  x
positive,Help me fix it Rob! 
positive,@dangennoe - They look brilliant! Thanks for the pictures 
positive,"@NHEXPERIENCE Thanks Nick, how are you doing? Late night for you! "
positive,tomorrow is our first day of classes!! 
negative,Glad to be home. Sad that Barbie is so sick. 
positive,hooray! i have 3 stalkers!  spy me spy me!!! where did you find me? ok! you win this round of Hide n Seek 
positive,"@jjstoner11 and yeah diversity were awesome , Hows Paris, hows your day going hope you &amp; Raychel are having a nice time "
positive,"@SarahPreston yea we should  lets just convince a bunch of people to get one! i get really confused though, like there's not much to do :/"
negative,@glasscase we can't hang on wednesday  but thursday y/n?
negative,"@eellsworth Sad, me neither "
negative,@wendilynnmakeup LOL at that waffle pic.  The Corn flakes were amusing too.  Still awake and I have a headache 
positive,@DonnieWahlberg i freakin miss you guys!!!!i want to go to every concert!!!!!!!!!!!!!!!!!! and i cant..... =( fresno luvs you! 
positive,We passed our final building inspection! We have a dorm again! Now all we have to do is move everything  Started on it tonight 
negative,Time for bed falling asleep long day tomorrow... Ima be so sore I can't already feel it.. 
positive,in Lewie's spare room/mini studio. hes recording his new song  its good! this room is so cool its got loads of pictures on da walls
positive,@Frenchman101  did you like my presents??  p.s did you get my text??? 
negative,the option to add a photo is now gone  what have i done???
positive,@irenerencsi quite time on twitter? 
negative,"I missed many DM's in past few days. Never got notified  Sucks! Sorry people, would check and reply to all.."
negative,Twittas I am soooo depressed today 
negative,@avenuegirl I'm scared it will happen again 
negative,"Great morning, last night was fun. Show today in Bristol, Steeles Creek Park at 11:45 to 7pm. $10. Wish my dad could follow me on twitter "
negative,My Talbot shirt and my Prince of Wales shirt are missing.  I'm about to freak out! I have no idea where I put them last. 
negative,"is late for his dentist appt. They said it was ok, but I'm sure they are gonna make me feel it.  #fb"
negative,Back to the ramen noodle diet. 
positive,@CrownRoial  o0o thats good 
positive,"@thealexleong Haha yesh, don't worry, it's no big "
positive,"New QOTD: 'what do we want?!-EQUAL RIGHTS!, When do we want it?!-NOW! ' "
positive,@violentinnocent Just in time to get in a Happy Birthday 
negative,waitin like a lost puppy for a reply from someone... 
negative,@Hals7747 rofl. I HEARD ABOUT SAUCY. 
negative,@NGbaby I been wantin to delete my shit for a min but I jus can't do it... Facebook is wack now though 
positive,hahaha! that's my first twitpic uploaded  except from my primary pic..
negative,Work is shit 
positive,I want to learn the Salsa OR the tango. Or both. =( But who wants to learn with me? 
positive,"@DubTheatreFest Hey Shauna, tried direct reply but it wasn't working. all good here and u? the dock on twitter...times they are achanging "
negative,@ramsin_taffles I'm not sure!  coz im going to Miley in december and jb the day before so its going to be expenisve  sorry!! 
positive,The shrew has yet to be tamed. Love and miss you sophie  grace. 
negative,@ajisreal lmao! Did you boo? Aww man!! Where's the twiggin love? 
positive,@skinthiwatt skipppppppp hey dude  hows u? did you get my email?
negative,Setting up an network. 
negative,Wish I had something to do!!! 
positive,beaut night at emma's and couldn't love my friends anymore 
negative,@pecche yep........... 
negative,@mileycyrus http://twitpic.com/7e01t - Do you have a percing in the nose? I thought you were one of those sweet girl ... 
positive,@3CB So what did you find out? Who's male and who's female? Lest you send a tweet recommending a lingerie shop to the wrong person 
positive,HAPPY EASTER (orthodox easter that is) 
negative,Are you there tequilla? Meh please don't be.. Don't wanna be sick 
positive,"Sending out a tweet, Need more followers! Please Help!  Oprah! Oprah! Oprah! Oprah!"
negative,Arrghhh!! Scary bikini lady! Stop FOLLOWING me  Dang.
negative,"I have finally came to realize, that life for a teenager is harder than i thought...drama drama drama!!! "
negative,@Mikemo327  everyone is going to be there wowzersss 
positive,@jaisey I KNOW I KNOW...IM AN aussie from the land down under ... We eat VEGEMITE!  LOL hmmm TiM TAMS...ohh yeh thats some good stuff..
negative,(@MissAmande) I need a hug today 
negative,Fuck yo.. Just fuck.. 
negative,awww charms i'm gonna miss you 
negative,"@VickyMinor Nope, went the signing in April though! Was gonna go the November Liverpool date but my dad wouldn't give me the money "
positive,@billyraycyrus you should bring your whole family to australia!  ok so that probably won't happen for a while but a girl can dream! â¥
negative,@gailbrand please tell me everything gonna be ok Gail. I'm fretting like an idiot after the last few days at Westminster 
negative,@CChiron - Well (as you can see) I've been blah blah blahing so much...yep. I forgot. I'm sorry   But...I'm here! 
positive,"@orangemoontom Hey, Thomas, I will be up with you over the next 2 days, working the night shift, lol "
positive,@HDDMLA wonder how many passersby decided to stop and get a dog just because of our large crowd gathered out front? 
negative,"happy sweet 100 @adamcurry @therealdvorak , don't leave me hanging for a week again! "
negative,Somehow I knew Coke Zero was too good to be true  http://bit.ly/19qzZI
positive,"not long up, breakfast first then exercise dvd - only five weeks till i have to squish inti a bikini "
negative,"@nancybaym Thanks, but it doesn't work for my iPhone "
negative,Can't say I'm too impressed with iPhone os 3.0. And I'm not 4sho yet but I think it's made my phone slower. 
positive,@crusaderz4life awww you are so sweet to send me such a tweet treat 
positive,@JenBrockwell haha yeah I adoooore him  and yes he has a pih called Chester hehe got a thrill when I knew xD
positive,@EmmieLaDuh hmm.. that kinda makes me wonder more.. but uhm yeah. I don't eat hot dogs often. so I think I'll be ok. lol thanks 
positive,Yay just updated my Canon 5DII to Firmware 1.1 - fiddling with manual exp on HD movies + like dual battery display  http://twurl.nl/b2qcgn
positive,@TheRCullen Good. Haha. Put in a good word for me. 
positive,Don't worry about the small stuff things always seem to work out  - one heavy door closers and a brighter one opens!
negative,Just fixed my computer!!!!! At 2am...   
positive,"@metrostation OMG, i'm so excited to see you guys on June 12!  I'm most definitely going!"
positive,"@curtis_n yeahh i think so, i haven't seen you lot in ages so it should be good "
negative,I just lost the game 
positive,@soulseye -- and....my little awesome fabulous brother ~backgrounds? zaneology logo? hugs?  
negative,"Ready for bed, missing my baby "
positive,finish with my naily 
negative,Floyd Mayweather Jr. is injured? Too bad 
negative,I really don't get this 
negative,@djSouthanbred Oh that's what's up babe-no I haven't been in years...&amp;now i'm fighting 2get my passport renewed due 2dual citizenship 
negative,@xShyannexStarx so is mine 
negative,Anyone else find John &amp; Kate + 8 sad tonight.  There are lessons in there...
negative,is hating having to work indoors in this gorgeous weather 
positive,He was my prince charming 
negative,"juz want to curl up and die,,,haiz in big trouble for this one "
negative,Dion is makin me watch cheetah girls. 
negative,@ephant  -hugs-
positive,"Great Salsa group tonight. Still plugging away in the office, but I'm getting there.  Phew!"
positive,"@rachelannc yes, that's all good! I give you a ton of props for staying above it. "
positive,@ryeseronie Just watched it.  hehe. Bridgette should be proud at her immortalization. At least until you wiped her away after the vide ...
positive,... but I love this beautiful girl here more than anything in the world.   http://twitpic.com/6e5pu
positive,"@CyberWasteland Eh. Like I said, I want Doctor Who : The Video Game, not Doctor Who : Buckets of Blood. "
positive,"@theapple Lucky you,have no neighbours  I saw one yourte display in Budapest last year.Some people making them here in Hungary."
negative,@kristen_arnett I hope you don't think I am mean 
negative,Ok I admit it I am watching the apprentice. But first I watched the finale if the amazing race. I wish I could do the amazing race 
negative,scared of swine  lolz.
negative,@realitytv_fan sorry 2 hear u don't feel well!  Hope u feel better soon.
positive,"@ZillaFitness yeah &amp; it's coming soon, tomorrow!! LOL *slightly scared* "
negative,very depressed from school 
negative,doesnt wants to go to school tomorrow 
negative,"AWAKE WHEN I SHOULD BE IN BED! I thought that Maths exam was this morning, turns out to be in the afternoon "
negative,"I need to sleep early tonight. Summer's really fast, I went to the beach 1 time the whole summer! Not like our ordinary summer. "
positive,talking with my friend laura! por msn  jejeje ........
negative,"@jacarandas around here we just end up investing in rain suits, since it doesn't let up all winter "
positive,"is now at school! About to take the ECAs, &quot;LAME!&quot; (Steal from Brennan) Good Job LC and you too Brennan! "
positive,probando tweetie... excelente 
negative,@kirwenn where did you gooo this morning! I wanted to watch the end of the mooovieee 
negative,RIP Malachi W....this is so unreal   http://bit.ly/19QDpU /local&amp;id=6865204
positive,Omg they just said they're filming it  imma be famous!
positive,@Thedailypause Yes.  I was going through your tweets and it made me laugh as I had just watched the final episode.
positive,"@jakesonaplane i vote no on the cutting .... sorry dude, i dig the hair "
positive,Sleep is good. My bed has never looked so comfortable. Sleeping super late. 
negative,monday already ? and starting off the week with a cold 
negative,"Looking forward to seeing my old Pastor!  If my phone worked, I would call him.    Anyway I'm off to therapy again today...yeah"
negative,@angels510 AWWWW you are so sweet! we're having major issues; lots of $$ we need to spend to replace old items: boiler and oil tank 
negative,@Spidersamm LUL - i couldnt add your myspace because i dont have your email  maybe add me - myspace.com/jessica_pretty_face
positive,CeeMoon hir New @twitter 
positive,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay! "
negative,@gypsygirl52 you wait; I'll see.  I'm surfing the web; sifting through threads.  Wish I read Farsi though   #Iranelection
negative,"tidying up, washing and learning.... I hate dietetics.. arghhh.. "
negative,i soooo wish i was at the bamboozle  this is what happens when u live in england.
positive,"@shanedawson go to sleep, silly. "
positive,"But first things first... porridge, granary toast and black coffee, before a stroll in the countryside with my Labrador.  "
negative,@emzyjonas im getting mine on friday i hope they dont all go 
negative,@TreeYourWorld shame! and you're so close to launching  oh well the munney grubbers come out when they see a good thing like the 'your'
negative,having a shitty day. Working tomorrow. 
negative,@Spook26 sorry to hear that 
positive,@rubyred2112 Alex isnt the only one with connections 
negative,@Boo_vicky pls don't make me go in. My bed is too comfy. I may cry if I have to leave it!!!  x
negative,Keesha wants to go outside and play but mommy says I have to rest  http://apps.facebook.com/dogbook/profile/view/5559942
negative,"Ahhh school tomorrow  I have so many projects and upcoming tests, I'm terrified. I just want school to end! Blah, fuck school."
positive,"Loving the names on the henchmen's shirts played by Louis Lombardi, Pathos, Ethos, Logos, Dildos, Huevos, Rancheros "
negative,@tommcfly would you answer me? which was the best show in brazil? 
positive,still looking for new music.... especially new artists 
negative,"Has work again  not had a day off in about a week, and I Have to work tomorrow too "
positive,@mookiejonesart thanks! 
positive,so i just worked out and thats it bout 2 go 2 the bank and then go 2 crowns chicken  umm crowns chicken *lmfao*
positive,@rohinkallat thanks 
positive,@danni11 haha yea we r. im watching lie to me its really good 
negative,tired: - / go to the beach or visit Henrik? I have not seen Henrik for a long time 
positive,@ANGELOFMUSIC172 congrats on making orchestra!!!  that's really awesome!
negative,Nobody woke me up for dinner! I'm sad 
negative,Heard the sad news. I suppose no more Lebron v. Kobe commercials 
positive,@duffbert are you like wheezy the penguin from Toy Story 
negative,@gonzylla I say go! HAHAHA Watch me go to the nearest McDo drive thru from here and reward myself with a biggie Twistah fries!! If only 
negative,"Driving lesson at 6 though, so I cant venture too far "
negative,Worked my way through a big bag of crisps 
positive,still watching saved episodes of the daily show and colbert report 
positive,"@dannydutch Haha, I work on a bar and have just had many awkward customers. Ah well, am home now "
negative,Listening to Jay-z and Beanie Sigel to help clear my mind.. I just don't know any more 
negative,hes annoying me in my media lesson 
positive,Working on tonight's post 
negative,I'm truly so sad about Jon &amp; Kate's divorce  I feel like that marriage could have had a chance if they'd given up their show..
negative,@onchmovement Awwww. U ruined it  now I don't have to watch it. Lol.
positive,Just bought @therecordlife new EP. It's amazing 
negative,Hair cut im scared 
negative,watching the last ER with ma mam  sooo sad  x x
positive,@Running5k2day do you wake up early or late?  I was thinking like 11ish but whatever works for you is good 
positive,@smata i went to boston market. its delicious 
negative,@knitwithsnot I'll be there on Wed. And Kidney Kozy #3 isn't going so hot.   Might have to frog.
negative,Wahoo! Finished building my flower beds. Now just got to build the legs for my stone bench 
positive,@kennyburns thank you.... 
positive,GRADUATING! It's been a great 4 years 
positive,Wow.. I'm almost done with my project  Fuck yeah.. Animating is pretty hardwork &gt;__&lt;
positive,"@ElBeardo still in Edinburgh just, but have discovered the awesomeness that is an all day bus ticket / how far the buses actually go "
negative,"That Nap I Just Had Was GREAT, But Jefrica And Devetrice Are Gon' Be Mad At Me For Not Answerin' My Phone! "
negative,i am ill 
negative,"@GrahmZilla arrived yesterday! so, we just missed each other  did u have fun?"
negative,My pizza went cold 
negative,"@marns_ ugh  mine's eased off nicely, hope yours does too. What does one wear to a Tubes concert, btw?! Hope don't have to dress like Fee!"
positive,Chillin at nics house! 
negative,@teddy_dunn  poor Kevy some one said no one loves Kevin and his brothers were like that's not true everyone loves Kevin
negative,Ugh! No reason to go all the way to Manteca now   I'm ready to go out and not the kinda girl who drinks alone...
negative,"My 20 month year old daughter, will miss out on the whole experience of fatherâs day, My husband is working offshore "
negative,is up. At nine. On a weekend. Without an alarm. When she went to bed at one.  I need moar sleep!
positive,@gutmach I put it on digg too 
negative,"Good Morning All, have tummy ache today, "
positive,@Schuree The lake is not your personal trash can.lol 
positive,HULU is coming to the UK! 
positive,@bronxelf I'm sure you've seen quite a lot. I'll just take your word for it. 
positive,"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- &quot;Christ -- without the Crucifiction&quot;  Abstraction w/o 'Skin' "
positive,Tomorrow i have Security training all day 
negative,@Stefanvds OH NO! Fucking bug bastard biting you!  how dare he?!  Poor Tweeten 
negative,joco just tried to run us over. sorry brian  http://plurk.com/p/x9zzo
positive,"Found Bring on the Men on mah desktop, I remember now, I bought it cause I was addicted to it  MUST GET A KARAOKE VERSION!"
positive,going to grandpapa homeyyy..little aldo is sick..get well sonn  nephewww 
positive,getting ready for renee anf kris wedding ! 
negative,@xbllygbsn sup? 
negative,"I'm still alive, not turned the ps3 on for so long tho, missing it "
negative,On the phone with the chinkiest Asian man  &quot;sheeet thee feeeck uppp&quot;
negative,I hope i could join Jhong's farewell party. Pretty pleaseeee! 
negative,@littleh77 i'd love to go to wimbledon but its impossible to get tickets 
positive,With @wow_nk in her yard. Rockin it out 
negative,My dad is packing a bag. This makes me sad. I know he's going somewhere without me. 
positive,@June4th : I highly recommends you join www.m2e.asia You can earn money from free shareholder by dividends. Even you do NOTHING! 
negative,This game makes me sad 
positive,"On the long journey home...  excited for the future. Hello june.  san marcos tonight, be in austin tomorrow afternoon."
negative,Bedtime.  Lots to do tomorrow 
positive,Pants monday again never a good thing and my first 5 day week for a while oh well only 10 working days until my big gay day 
negative,the rainy season is start..?? I don't know..but.. Seoul is rainy day 
positive,@Lovin_DEW Thank you 
negative,"@FreshPrinceJay nthn  much,mad @ this damn rain "
positive,"@PaulDale67 Morning Paul  I can't wait foe the block feature to be added, other twitted clients will off my phone for good î?"
positive,@michaelvillar Kudos if those aren't spam accounts 
negative,My cat Max is sick and having a sleepover at the emergency vet while they pump him full of antibiotics. Poor little guy 
negative,@loveless5639 im getting them! But n class 
negative,tired today.... watchin mindless tv n wonderin why the heck there r sooo many adverts 
negative,"Really what a sucky week-Daughter moving-No days off of work-Pastor Russell sick from his chemo, so no Sunday School   "
negative,Heading to work. Really sad about missing church today. 
negative,Missing the good ol' days 
positive,@skovpape I have no idea. Gonna take it to photografica today to ask them to help me 
negative,I miss lindi.  going to school.
negative,"Another day Ill, "
positive,What kind of trouble should I get in to tonight?  I think it takes guys longer to get ready than girls 
positive,@ddlovato sounds good 
negative,My least favourite part of a sleepover is when everyone leaves in the morning  cleanup time soon.
positive,Mmm quiche. 
positive,Happy moms day! 
positive,Worked for a little while now just goofing around till someone finally wakes up and reads her msgs lol 
negative,@jenandhearts   
negative,really need to get up and do some work but i honestly don't feel well enough to move 
positive,Goodmorning world. Its finally friday. Thank Jebus!! Last nights saftey meeting was dope!! 
positive,i wonder how many times i have to bitch about work before someone sends me a joke to cheer me up *ahem* hint hint *ahem* 
positive,"I love when boys spew BS about cars, and they think I don't know any better 'cause I'm a girl "
negative,"@gatorayd haha, he is a lucky bastard. I'm jealous now "
positive,@CampbellX We'll be there as well.  Wanted to double up since we've been gone a while.  
positive,"New textures Posted for free download. http://www.flickr.com/photos/themacguy2k/ Download, enjoy, be creative!! Comment if you like!! "
negative,exam week is coming  nervous.
positive,"@Starbar btw, love yr profile pic. that's exactly what you look like right? (Dita Von Teese, with the heel up and everything?) "
positive,temptation is fun but giving in is even funner 
positive,WHAT A WEEKEND! A M A Z I N G 
positive,"going to study, just a little bit  5 pages I'll read 2night "
negative,@KaiserBuckbean cause it slid out of place so he had to fix it    I wonder if that's wat it feels like to get shot?
negative,"@rianepanic    :,( ima miss everyone soo much "
negative,"@cMizen I know how you feel, everything just seems odd. And I miss everyone, all this just turning up for exams is crap "
positive,@DwightHoward Congratulations!  You guys were awesome.
positive,@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy 
negative,@mommymbd nope anthony wrecked his car i have to help him get it running 
negative,im home! very tired! had lots of fun. parents anniversary today- me home alone          taking naps? ha
positive,@AModernMother I know what you mean! Have fun 
positive,is recovering from a fun night 
positive,@soloreno How do you brew it? Over the fire in a french press would be fun 
positive,ROXYYYYYYY 1st FRIDAYYYYYY  come play!
positive,@Justpolina ...and hairy! 
positive,voicetracking my shift so that i can go to see a play in staunton for mother's day. yayyyy! 
negative,In the car with the parentals and my sister im dying!! Somebody anybody text me!! She is killing me softly 
negative,@sharvegas yeah suprise!!! Now I'm stuck in Chicago!! Whoooo Hoooo! 
positive,@x0me880x AHHHHHH!  FULL SERVICE BABY! I am so excited for you! I have to wait 16 more days...
negative,My poor bunny! Her toenail fell off and she was bleeding a lot so we had to put her in a box so she doesn't get an infection 
positive,reading David Wells 'The Courage to be Protestant' - marketeers &amp; emergents run for your life!  http://bit.ly/QBgN
positive,@MeowReow mmm... i wonder what the suprize is tonight. im staying up for it 
negative,"New blog entry up, but I'm still waiting on Facebook to cooperate when it comes to pictures...  http://travelingwithbeth.blogspot.com/"
positive,@DBUniverse The comforting thing about the internet it's the same wherever you access it.  You are only in China temporarily so it's ok 
positive,looking forward to hanging out with my little sister and playing trucks with Little D. 
positive,"the only reason id trip you is so id get to help you up........................ you there?- ah yea, just speechless "
positive,"@Wathobio, you know what movies. They were 3 dvds ! Better have them by next week, or pre-order a coffin "
positive,i'm worth it. 
positive,@Datboyie just watchin a movie  what about u?
negative,i hate watching romantic comedies by myself   when's my romantic comedy gonna start??
negative,@Lileks  me too. To tweets from Iran. I'm scared for them.
negative,I don't feel good 
negative,cleaning my closet ugh :S booooored out of my skin 
negative,@owl311 that makes me sad... 
negative,Off to exciting Palmer for the latest tech services roundtable.  Despite the fact that the lunch place there is closed on Tuesdays. 
positive,"@CormacOfFleetSt Haha fail @ you dropping the phone on your face, silly. "
negative,"@JoelyRighteous  hugz! I am pouring a bourbon in your honour. And don't worry, tomorrow will be just as bad if not worse."
positive,@thronkus Here is more proof dear sir of the TITTLE  http://en.wikipedia.org/wiki/Tittle
positive,dang... its kinda early. 
negative, Plane late 1.5 hrs. Wife &amp; I have 3 hr layover in Charlotte instead of 45 mins &amp; a drive from Wilmington SC to Myrtle Beach in the dark.
positive,"Why does it seem like I haven't accomplished anything except a bigger mess? It's all good tho, I love cleaning in cool sunny days "
negative, i broke my microphone 
negative,"@VictoriaDahl TY will check it out when i get home.Have been following student tweeters, but silent for awhile now. "
negative,@evillemur I can't donate until Jan 
positive,I daydream to much lol Goodnight 
positive,"My feet hurt, our restaurant was busy today. Yes my family has a restaurant and I can't cook, that's why I'm not aloud in the kitchen "
positive,"@rara87 yeah, it was!  and looks like i'll be going to In The Pines next week. Woo!"
negative,@pxieVAMPIREdust bye! 
positive,"@ohnoitsadam Oh wow, I has a stalker! That's new. "
positive,@pandamerv yeah! I'm listening to it right now! hehe 
positive,all done   time for bed.  buenas noches!!
positive,@ali_rice44 haha noooo miah is my cousin  rebekahs niece. She's so cuteee
negative,I think i'll go to bed now (: I'm hungry though..i'm always hungry 
negative,ok so have a i have nothing to do day planed! so pumped. missin my boys tho  wish they could stay home forever but that life! bday n 9!
negative,I'm really liking Twitter now. No Twitter = 
positive,better finish off an order for this little guy first tho   http://tinyurl.com/cltln9 Time to go   Cheerio an Drasda!
positive,@echoinghim it was my pleasure playing guitar for you!  So fun 
negative,Leg fell asleep... ow. ow. ow. 
negative,Am in bed and shud b long asleep but am wide awake!  My kittie is also upset i locked her out...sory my sweet! Ahh..wat 2 do...
positive,k someone remind me to do a load of washing tonight b4 it gets late 
negative,I miss @indmix and @adaorah already 
negative,@DonnieWahlberg ~ Tomorrow is going to be an emotional day for me...seeing you for the last time as far as I know. My heart hurts 
positive,"@Tymlee Pack up your twitts, I guess it is over now "
negative,it sucks when everyone else has to study and you're the only one on holiday 
positive,Fucking crazy semi tailing me at 90mph!! And listening to... my love is like woah! 
negative,@Suphii I still think you should take the picture down. Please. 
negative,speniding a long day at school.  Tomorrow is band practice   but i do have to work first  hey its money
negative,Song of the day: &quot;I Left My Walkman in Altadena&quot; 
negative,lmfao @ t-pains &quot;Big Ass Chain&quot; ...I could do so much with 410K 
positive,"i love waggamammas food though i still feel full from last night, yum "
positive,Out for margaritas with dan and will 
positive,@HeartMileyCyrus the rock version  i saw just a few minutes from the movie. only the part when thay sing  did you saw it all?
negative,is back from school!  http://plurk.com/p/tpyqn
negative,"Arizona is getting pounded by Alabama, this is painful to watch "
positive,Dude you shouldn't be tweeting while playing hopscotch.. 
negative,"damn you Jericho  why try to unmask Rey, that is his identity"
negative,Suffering the wrath of 3 am Steak-n-Egger spicy fries.  A little upset that this weekend is about to be over 
positive,finally found my calculator good thing seeing as i ave a calculator exam tomorrow lol 
positive,"@SeanAvolio  very cool.  what are you up to?  hitting the gym in a bit here, and then going down to Venice for dinner I think."
positive,@sampriestley Bloody over achievers!  Sometimes I think your picture is your left eye and sometimes your right. Today it's deffo left...
positive,just woke up.... nothing better than a good night sleep 
positive,@CalebLewis144 http://twitpic.com/7idyc - i this is the cutest picture i have ever seen in my life 
negative,is just watched the season finale of grey s anatomy that hes been meaning to watch since forever......izzy...george 
negative,grrrrrr.. headache!! 
positive,http://twitpic.com/3l0m5 - my bebe Jose on his wedding day..i'm so happy for you bi@tchhh!! 
negative,Anyone want to get lunch around campus? Class done at 1. Brain hurts 
positive,I reckon it should be mammas day everyday  I lova my mamma xx we should have a husbands day too.. I reckon our men rock!!!
positive,@jordanknight can't wait to see you at the NJ show this Saturday!!! 
negative,out of the shower.. wish i was goin surfing.  but nooo.. im goin to eat chinese in a bit.
negative,@emmarossx wanty go at like half 1 ? am not ready yet 
positive,@bynkii until your warrenty runs out 
positive,"Oh wtf its storming here. No internet now, oh well I'll just have a FF5 dance party in my room "
